id,tst_2024,age_2024,sex_2024,ethnicity_simplified_2024,country_of_birth_2024,country_of_residence_2024,nationality_2024,language_2024,student_status_2024,employment_status_2024,fluent_languages_2024,tst_2025,age_2025,sex_2025,ethnicity_simplified_2025,country_of_birth_2025,country_of_residence_2025,nationality_2025,language_2025,student_status_2025,employment_status_2025
train_0001,"I am a female
Mother of two
Love being a mother
Married 35 years
Have a great relationship
Am very close to my children
Am very close to my 2 grandchildren
Am a little overweight
Have a great personality
Look good for my age
Am very artistic
Chose cosmetology as my profession
Love to do household projects
Am not a great housekeeper
Love the beach
I own 4 chickens as pets
I have a cat
Live in a suburb
Have high school diploma
Have a trade degree
Am very loving and positive",58,Female,White,United States,United States,United States,English,No,Part-Time,English,"I am a mother
I am a wife
I am a nail tech
I am an artist
I am a grandmother
I am lazy
I am short
I am smart
I am a lover
I am an animal enthusiast 
I am a good friend
I am empathetic
I am overweight
I am a reader
I am a swimmer
I am a walker",60,Female,White,United States,United States,United States,English,,
train_0002,I am a woman. I am a wife. I am a mother. I am a loyal friend. I am a caregiver. I am a sister. I am a daughter. I am a person who likes to work out. I am a baker. I am an employee at a gym. I am a gardener. I am a houseplant enthusiast. I am someone who is shy. I am interested in politics. I am for womens rights. I am an ally to the LBGTQ community.  I am a reader. I am interested in crafts. I am a good neighbor. I am a rule follower.,61,Female,White,United States,United States,United States,English,No,,English,"I AM:
a woman
a mother
a wife
a daughter
a daughter in law
a gardener
a baker
a propagator
a sister
an aunt
a friend
a workout buddy
a support person 
an empathetic person
accepting of all people person
a supporter of democracy
an outspoken proponent of gun control
an animal lover
a nature lover
a runner",62,Female,White,United States,United States,United States,English,,
train_0003,"I'm a very caresmadtic, fun loving, peaceful, trust worthy, friendly, loving, God fearing, risk taking, fast talking, loves drinking, hard worker, funny, caring, soft hearted, joyful, rich, classy, womanizing, hot blooded Male, Adventurer.
,",53,Male,White,United States,United States,United States,English,No,Part-Time,English,Who am I I am a I am a creative spiritual being made in the image of God. A very creative person very spiritual person. Also very loving and kind and I love life and loves people,54,Male,White,United States,United States,United States,English,No,Part-Time
train_0004,"I'm young, white, in good health. Active, smart, tasteful, and caring. I am in a relationship, happy, and loved. I have pets, love all animals, and have a good job. I like to help people, talk, and have fun. I am confident, strong, independent, and authentic.",22,Female,White,United States,United States,United States,English,No,Part-Time,English,"I am funny
I am a night owl
I am someone who is organized 
I am honest
I am quiet
I am someone who believes in love
I am short
I am nice
I am an introvert 
I am someone who enjoys exercise 
I am someone who enjoys food
I am quiet
I am independent 
I am someone who listens to lyrics
I am still a fast learner
I am someone who enjoys nature 
I am creative
I am loyal
I am calm
I am someone who loves animals",23,Female,White,United States,United States,United States,English,,
train_0005,"I am intelligent,smart,friendly, nice,confident,caring, happy, kind hearted,easy to get along with,motivated, loyal passionate and willing to help anyone that is in need.",53,Female,Black,United States,United States,United States,English,No,Full-Time,English,"I am a mother
I am a fair person
I am a kind person 
I am an introvert
I am a fan of music
I am a curious person 
I am a people's person
I am a hardworker
I am a confident person
I am a christian
I am an american
I am a person who loves to cook
I am a person who loves to help others
I am a great thinker
I am good at art
I am good at cooking
I am a person who love outdoors
I am a person who can do many things
I am a person who can be kind to otthers
I am a gentle person",54,Female,Black,United States,United States,United States,English,,
train_0006,I am unique. I am witty. I am a survivor. I am getting older. I am emotional. I am a big reader. I am a dog lover. I am a wildlife lover. I am excited by nature. I am too thin. I am a heart attack survivor. I am not my mothers keeper. I am immature. I am grossed out by fish. I am sad. I am angry. I am divorced. I am a puzzle lover. I am unfiltered. I am progressive. I am able. I am a dreamer. I am a fantasizer. I am happy when alone. I am a lonely person. I am broken. I am afraid of the dark. I am hungry for new knowledge. I am free of drugs. I am free of abuse. I am a hiker.,52,Female,Mixed,United States,United States,United States,English,No,Full-Time,English,"I am a mother first.  I am creative. I am unique.  I consider myself weird.  I am silly often. I am a big believer in karma.  I am introverted and shy. I am analytical.  I am native american. I am a romantic.  I am a barefoot hippie. I am a classic rock fan. I am a cheerleader for strangers. I am a safe space for lgbyq kids. I am dark. I am a conflicted daughter.  I am disappointed in cruelty.  I am a animal rights advocate.  I am a rape survivor, domestic abuse survivor,  and a childhood abuse survivor. I am a small lady. I am angry liberal. I am a individual.",53,Female,Mixed,United States,United States,United States,English,,Full-Time
train_0007,I am a single father of two. I am a professional violinist. I am a teacher and a public school orchestra for over 24 years. I am someone who believes in honesty. I am a person who loves classical music. I'm a person who loves the '80s. I'm a person who loves to cook. I love spending time with my family. I am someone who loves to travel to remote places. I am extremely spontaneous. I love to shop all by myself. I am a collector of various colognes and perfumes. I am a Christian. I do Uber driving as a side hustle. I love going to New York City. I had an extremely rough divorce but now I'm in a fairly stable relationship. My children mean more to me than anything. I love God. I love to hang out with my friends. I am somebody who prefer spending time by themselves.,49,Male,White,United States,United States,United States,English,No,Full-Time,English,I am a Christian. I am a father of two children. I'm a divorced man who's in a monogamous relationship. I am a musician and violinist. I'm a person who loves ethnic food. I am from a small rural town. I identify as a man. Identify as heterosexual. I am of owner of one pet a cat. I love horror movies. I love to travel. I love meeting new people specifically from small neighborhoods. I live in a house. I have parents that are still alive. I love pizza and chicken wings. I love binge watching TV. I love sleeping with a fan on. I love perfume. I collect perfume and I have over 200. I love incense and burning it each day. I love the color yellow and have so many things in that color. I love to write horror fiction.,50,Male,White,United States,United States,United States,English,No,Full-Time
train_0008,"I am a man, husband, brother, son. I am american. I am east coast. I am philly. I am a nerd, geek, weirdo, outcast. I am the problem, the liar, the manipulator, the thief, the criminal, the felon, the addict, the alcoholic, the lost man. I am an example of positive spiritual progress",31,Male,White,United States,United States,United States,English,No,Full-Time,English,"Recovering addict
Recovering alcoholic 
Computer nerd 
Kind 
Helpful
Fun
Knowledgeable
Determined
Intelligent 
People person
Leader
Friend
Brother
Son
Husband
Lover of learn
Dog dad
Amazing cook
Scooter enthusist
Researcher
Gamer",33,Male,White,United States,United States,United States,English,No,
train_0009,"Who am I?
1. A woman
2. A middle aged woman
3. A Jewish woman, albeit a secular Jewish woman 
4. A Southerner and a Native New Yorker, both are very much a part of me, I have spent 90 percent of my life in the South
5. I am bipolar. 
6. I am a survivor of rape and molestation. The first time happened when I was 4, the last time was in my 30s.  A cousin, a friend of my family, boys from my  high school, a guy in my dorm  a guy I met at a bar and  roofied me, a guy I met at a party, a physical therapist. my friend's dad... I am certain I have forgotten some
7. I am disabled. See above. I also have ADHD I could give a shit about it tbh, I have bad anxiety
8. I am a writer. 
9 I do opiatesI do what they call in street slang ""chip"" -i don't do it daily. 
10. I am a survivor of homelessness and now I am agorphobic. I fear loss o what I have
11. I was told I was ""gifted""  Perhaps.  My IQ was very high
12. I hid my trauma and proceeded to sabotage everything
13 At 40 I got help, finally. It took 7 hospital visits to get there. It may not sound like I am doing well, but I am, actually. I am making progress and I love my therapist and doctor. it just took me a long time
14 former party girl/socialite 
15 I am loyal to my own detriment
16 I lam a damn good cook
17 I am funny. So I have been told but stage fright. I think I prefer the typewriter
I18. I am a burner of bridges. .. I have had numerous opportunities to get my work published by people you may have heard of
19.  I am the partner of a musician. he is also bipolar and funny and smart. we are the parents of cats
20. I am hopeful today  some days I am miss doom but I still think the best is up ahead I didn't find my soulmate until I was fourty I think success is just also going to be a late.",55,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"1. I am a woman
2. I am American
3. I am Jewish, Ashkenazim
4. I am not religious, just secular
5. I am Italia-America, Polish and Russian
6. I am a Southerner 
7. I am native new yorker
8. I am bipolar
9. I am disabled
10 I am a survivor of molestation
i11. I am a survivor of rape and gang rape
12. I am a short
11. I am hilarious
12. I am assertive
I3 I am gen x
14 I am well read
15 I am gifted
16 I am a rock n roller
17 I am a writer
18 I am a humorist
19. I am neurotic
20 I am ill tempered",56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
train_0010,"I am a sister
I am a daughter
I am a student
I am a singer
I am a musician
I am a Christian
I am African
I am a granddaughter
I am a girlfriend
I am a sister-in-law
I am an aunt
I am happy
I am funny
I am easily amused
I am sensitive
I am a reader
I am a friend
I am fashionable
I am creative
I am smart",26,Female,Black,United States,United States,United States,English,Yes,Other,English,"I'm intelligent, funny, creative, artistic, tall, daughter, sister, friend, a student, responsible, studious, shy, ambitious, outgoing, extroverted, happy, enthusiastic, thoughtful, helpful, and resourceful.",27,Female,Black,United States,United States,United States,English,,
train_0011,"Male, old, white, married, happy, gray,  jovial, fun, slow, talented, witty, funny, sad. Morose, wicked, dangerous, honest, dishonest, respectful, worshipful",65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"I am 67 yrs old, a white man that is 5 feet 9 inches tall and weighs 202 lbs. I'm married for 46 yrs to one woman. No children. I worked for the same company for 48 yrs before retirement at the age of 64. I like to travel and ride my bike in the afternoon.",67,Male,White,United States,United States,United States,English,No,
train_0012,"African American, female, late fifties, Veteran. I enjoy watching true crime documentaries and listening to true crime podcasts daily. I love animals and I have an 18 y/o shihtzu who I consider my four-legged son. I walk everyday at least 20 minutes or more to try and stay in shape. I enjoy nature and people watching.",58,Female,Black,United States,United States,United States,English,Yes,Part-Time,English,"I am a single Back woman
I am a Sister
I am Aunt 
I am a Friend
I am a Godmother.
I am a Navy veteran
I am a hard worker, fun but also sometimes introverted and love my me-time.
I love cooking and entertaining at home
I am a lover of mystery novels
I love watching True crime documentaries
and I love animals.",59,Female,Black,United States,United States,United States,English,No,Part-Time
train_0013,"I am a knitter.

I am a homemaker. 

I am a kind and compassionate person. 

I am pretty smart. 

I am a gamer.

I am a wife. 

I am enthusiastic.

I am loud. 

I am creative.

I am musical. 

I am queer. 

I am a DM for D&D. 

I am a loving pet owner. 

I am monogamous.

I am obsessed with paddle boarding. 

I am someone who is in recovery from trauma. 

I am passionate about social justice. 

I am neurodivergent. 

I am an introvert.

I am kind of a nerd.",33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"I'm a fiber artist
I'm a good writer
I'm a dog owner
I'm a wife
I'm a homemaker
I'm a paddleboarder
I'm a yogi
I'm a good friend
I'm easily irritated
I'm a passionate person
I'm a nerd
I'm a reader 
I'm an oldest daughter
I'm an adhder
I'm sober
I'm generous
I'm thoughtful
I'm an advocate for the rights of children
I'm anti-racist
I'm detail oriented",35,Female,White,United States,United States,United States,English,No,
train_0014,"I am a father. 
I am a husband. 
I am a worker. 
I am a lover. 
I am a fighter. 
I am a hero. 
I am a person. 
I am strong. 
I am unwavering. 
I am unstoppable. 
I am invincible. 
I am the greatest. 
I am the toughest. 
I am the best all around. 
I am the star of everything 
I am the all mighty. 
I am the greatest ever. 
I am a human. 
I am a sound mind.",39,Male,White,United States,United States,United States,English,,Due to start a new job within the next month,English,I am a husband. I am a father. I am a worker. I am a kind person. I am a protector. I am a lover. I will be a fighter if needed. I am an animal lover. I am a hero. I am a Catholic. I am a slayer. I am a needed. I am a goal setter. I am a person of time. I am a getter. I am a football lover. I am a fisher. I am an eater. I am a baseball lover. I am a lover of food. I am a beer drinker. I am an employee.,41,Male,White,United States,United States,United States,English,,
train_0015,I am me. I am strong. I am intelligent. I am smart. I am understanding. I am here. I am honest. I am straightforward. I am aware. I am alive. I am breathing. I am warm. I am conscious. I am lonely. I am alone. I am thoughtful. I am sleepy. I am conscientious. I am feeling. I am emotional.,47,Female,White,United States,United States,United States,English,No,Part-Time,English,"I am a strong person.
I am a creative person.
I have survived many stressful events.
I am sometimes an optimist and sometimes a pessimist.
I like to be outdoors in the nice weather.
I also enjoy cold weather activities.
I feel best when the sun is shining.
I appreciate looking at works of art.
I think animals are fascinating.
I wish I would've learned more as a child.
I like to stay busy.
I believe movement is imperative to healthy aging. 
I don't always do well multi-tasking.
I love learning new things.
I find history very interesting.
I am able to problem solve when faced with a dilemma.
I am a quick learner with many things.
I like using my imagination.
I am fun to be around.
Sometimes I like to be alone.",48,Female,White,United States,United States,United States,English,No,
train_0016,I am an average person with a myriad of experiences behind him who's trying to do his best,48,Male,Other,United States,United States,United States,English,,,English,"somewhat tall
dad bod
older
creative
an artist
a dreamer
carer of animals
a single dad
a fan of hip hop
a fan of punk
a fan of Alternative
Extremely liberal
An Atheist
a lover of nature
Gen X
complicated
somewhat intelligent, but not really
unlucky
a decent cook
somewhat nostalgic",49,Male,Other,United States,United States,United States,English,No,Part-Time
